host,category
156.234.146.124,only_manual
156.234.146.125,only_manual
156.234.146.126,only_manual
156.234.146.65,only_manual
156.234.146.66,only_manual
156.234.146.67,only_manual
156.234.146.68,only_manual
156.234.146.69,only_manual
156.234.146.70,only_manual
156.234.146.71,only_manual
156.234.146.72,only_manual
156.234.146.73,only_manual
156.234.146.74,only_manual
156.234.146.75,only_manual
156.234.146.76,only_manual
156.234.146.77,only_manual
156.234.146.78,only_manual
156.234.146.79,only_manual
156.234.146.80,only_manual
156.234.146.81,only_manual
156.234.146.82,only_manual
156.234.146.83,only_manual
156.234.146.84,only_manual
156.234.146.85,only_manual
156.234.146.86,only_manual
156.234.146.87,only_manual
156.234.146.88,only_manual
156.234.146.89,only_manual
156.234.146.90,only_manual
156.234.146.91,only_manual
156.234.146.92,only_manual
156.234.146.93,only_manual
156.234.146.94,only_manual
156.234.146.95,only_manual
156.234.146.96,only_manual
156.234.146.97,only_manual
156.234.146.98,only_manual
156.234.146.99,only_manual
156.234.147.100,only_manual
156.234.147.101,only_manual
156.234.147.102,only_manual
156.234.147.103,only_manual
156.234.147.104,only_manual
156.234.147.105,only_manual
156.234.147.106,only_manual
156.234.147.107,only_manual
156.234.147.108,only_manual
156.234.147.109,only_manual
156.234.147.110,only_manual
156.234.147.111,only_manual
156.234.147.112,only_manual
156.234.147.113,only_manual
156.234.147.114,only_manual
156.234.147.115,only_manual
156.234.147.116,only_manual
156.234.147.117,only_manual
156.234.147.118,only_manual
156.234.147.119,only_manual
156.234.147.120,only_manual
156.234.147.121,only_manual
156.234.147.122,only_manual
156.234.147.123,only_manual
156.234.147.124,only_manual
156.234.147.125,only_manual
156.234.147.126,only_manual
156.234.147.65,only_manual
156.234.147.66,only_manual
156.234.147.67,only_manual
156.234.147.68,only_manual
156.234.147.69,only_manual
156.234.147.70,only_manual
156.234.147.71,only_manual
156.234.147.72,only_manual
156.234.147.73,only_manual
156.234.147.74,only_manual
156.234.147.75,only_manual
156.234.147.76,only_manual
156.234.147.77,only_manual
156.234.147.78,only_manual
156.234.147.79,only_manual
156.234.147.80,only_manual
156.234.147.81,only_manual
156.234.147.82,only_manual
156.234.147.83,only_manual
156.234.147.84,only_manual
156.234.147.85,only_manual
